sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
7,7,audio__male,What type of rifle is an A K forty-seven?,9,8,1,forty-seven?,0.19213679432868958,0.19213679432868958,0.1921368027257372,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.020248733460903168,0.9797512665390968,1.930375,2.794583333333333,0.8642083333333334,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,4,2,is,0.1335781067609787,0.1335781067609787,0.13357811259880756,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.1681862324476242,0.8318137675523758,1.16625,1.2466666666666666,0.08041666666666666,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,7,3,K,0.12790441885590553,0.12790441885590553,0.12790442444577446,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.12836869060993195,0.871631309390068,1.5965416666666667,1.8499166666666667,0.253375,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,6,4,A,0.10599849186837673,0.10599849186837673,0.1059984965008803,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.17762905359268188,0.8223709464073181,1.4075416666666667,1.5684166666666666,0.160875,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,3,5,rifle,0.10249316692352295,0.10249316692352295,0.10249317140283158,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.039424553513526917,0.9605754464864731,0.744,1.1059166666666667,0.36191666666666666,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,2,6,of,0.09464889019727707,0.09464889019727707,0.09464889433376347,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.07446592301130295,0.925534076988697,0.6233333333333333,0.6733333333333333,0.05,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,5,7,an,0.08355354703962803,0.08355354703962803,0.08355355069120926,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.11156774312257767,0.8884322568774223,1.307,1.357,0.05,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,1,8,type,0.08291696384549141,0.08291696384549141,0.08291696746925174,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.19906386733055115,0.8009361326694489,0.3217083333333333,0.563,0.24129166666666665,0.8298640808918409
7,7,audio__male,What type of rifle is an A K forty-seven?,9,0,9,What,0.07676957547664642,0.07676957547664642,0.07676957883174446,0.19213679432868958,0.058558687567710876,1.438385357819968,0.1921368027257372,0.980467776026315,0.15855637363430874,1.0,0.026218967512249947,0.97378103248775,0.06075,0.2975,0.23675,0.8298640808918409
15,15,audio__male,What are antigens?,3,1,1,are,0.5990333762019873,0.5990333762019873,0.5990333873187136,0.5990333762019873,0.3843951402232051,2.7908977665578014,0.5990333873187136,0.8650279150042127,0.275136677341415,1.000000238418579,0.2942802906036377,0.7057199478149414,0.343875,0.445,0.101125,1.0310188906732947
15,15,audio__male,What are antigens?,3,0,2,What,0.21463823597878218,0.21463823597878218,0.21463823996199013,0.5990333762019873,0.3843951402232051,2.7908977665578014,0.5990333873187136,0.8650279150042127,0.275136677341415,1.000000238418579,0.02531777136027813,0.974682467058301,0.06158333333333333,0.2831666666666667,0.22158333333333333,1.0310188906732947
15,15,audio__male,What are antigens?,3,2,3,antigens?,0.1863283682614565,0.1863283682614565,0.1863283717192963,0.5990333762019873,0.3843951402232051,2.7908977665578014,0.5990333873187136,0.8650279150042127,0.275136677341415,1.000000238418579,0.0395725853741169,0.9604276530444622,0.4955833333333333,1.1925416666666666,0.6969583333333333,1.0310188906732947
23,23,audio__male,What is the lowest brass instrument?,6,2,1,the,0.2266739048063755,0.2266739048063755,0.2266739099629181,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.2133028656244278,0.7866972535848618,0.48341666666666666,0.5438333333333333,0.06041666666666667,0.6928522364857296
23,23,audio__male,What is the lowest brass instrument?,6,1,2,is,0.21049074828624725,0.21049074828624725,0.21049075307464366,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.3858766555786133,0.6141234636306763,0.32225,0.443125,0.120875,0.6928522364857296
23,23,audio__male,What is the lowest brass instrument?,6,4,3,brass,0.18279927037656307,0.18279927037656307,0.18279927453501363,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.0658513754606247,0.9341487437486649,0.9668333333333333,1.3294166666666667,0.3625833333333333,0.6928522364857296
23,23,audio__male,What is the lowest brass instrument?,6,3,4,lowest,0.160773117095232,0.160773117095232,0.16077312075261563,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.05742403119802475,0.9425760880112648,0.6143333333333333,0.9265416666666667,0.3122083333333333,0.6928522364857296
23,23,audio__male,What is the lowest brass instrument?,6,0,5,What,0.12020630948245525,0.12020630948245525,0.12020631221699568,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.09335178881883621,0.9066483303904533,0.06095833333333334,0.2819583333333333,0.221,0.6928522364857296
23,23,audio__male,What is the lowest brass instrument?,6,5,6,instrument?,0.09905662620440125,0.09905662620440125,0.09905662845781332,0.2266739048063755,0.01618315652012825,1.0768829773992619,0.2266739099629181,0.9781644108762702,0.15516098080197183,1.0000001192092896,0.10444296896457672,0.8955571502447128,1.3697083333333333,2.074125,0.7044166666666667,0.6928522364857296
31,31,audio__male,When was the surrender of Japan signed?,7,1,1,was,0.21197580359876156,0.21197580359876156,0.21197580062293586,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.24474012851715088,0.7552598714828491,0.32254166666666667,0.4435,0.12095833333333333,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,6,2,signed?,0.21135364100337029,0.21135364100337029,0.21135363803627882,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.1447739601135254,0.8552260398864746,1.7740416666666667,2.3379166666666666,0.563875,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,5,3,Japan,0.17461116332560778,0.17461116332560778,0.17461116087432618,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.09243910014629364,0.9075608998537064,1.16925,1.6329583333333333,0.46370833333333333,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,2,4,the,0.15361692383885384,0.15361692383885384,0.1536169216823002,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.6435661315917969,0.3564338684082031,0.48383333333333334,0.5442916666666666,0.060458333333333336,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,3,5,surrender,0.15104751382023096,0.15104751382023096,0.15104751169974803,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.09710071980953217,0.9028992801904678,0.6249583333333333,1.028125,0.4031666666666667,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,4,6,of,0.05711083533242345,0.05711083533242345,0.057110834530672075,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.45744869112968445,0.5425513088703156,1.0684583333333333,1.1184583333333333,0.05,0.7076795768391874
31,31,audio__male,When was the surrender of Japan signed?,7,0,7,When,0.04028413211926818,0.04028413211926818,0.04028413155373875,0.21197580359876156,0.0006221625953912735,1.0029436994295151,0.21197580062293586,0.9395131601195807,0.24203550406871654,1.0,0.24474012851715088,0.7552598714828491,0.04095833333333333,0.272125,0.23116666666666666,0.7076795768391874
39,39,audio__male,How does metabolism work?,4,1,1,does,0.38352714851498604,0.38352714851498604,0.3835271519042518,0.38352714851498604,0.04167947918176651,1.1219241252723442,0.3835271519042518,0.8992627762572458,0.2688124710507287,1.0,0.16905325651168823,0.8309467434883118,0.34308333333333335,0.48433333333333334,0.14125,0.7803108739899471
39,39,audio__male,How does metabolism work?,4,3,2,work?,0.34184766933321953,0.34184766933321953,0.3418476723541598,0.38352714851498604,0.04167947918176651,1.1219241252723442,0.3835271519042518,0.8992627762572458,0.2688124710507287,1.0,0.17042326927185059,0.8295767307281494,1.291625,1.634,0.342375,0.7803108739899471
39,39,audio__male,How does metabolism work?,4,2,3,metabolism,0.2033481378457509,0.2033481378457509,0.20334813964275766,0.38352714851498604,0.04167947918176651,1.1219241252723442,0.3835271519042518,0.8992627762572458,0.2688124710507287,1.0,0.07491308450698853,0.9250869154930115,0.544875,1.1907083333333333,0.6458333333333334,0.7803108739899471
39,39,audio__male,How does metabolism work?,4,0,4,How,0.07127703446894884,0.07127703446894884,0.07127703509883075,0.38352714851498604,0.04167947918176651,1.1219241252723442,0.3835271519042518,0.8992627762572458,0.2688124710507287,1.0,0.16043439507484436,0.8395656049251556,0.101625,0.30270833333333336,0.20108333333333334,0.7803108739899471
47,47,audio__male,Who runs the Catholic Church?,5,4,1,Church?,0.22883234173059464,0.22883234173059464,0.2288323457640969,0.22883234173059464,0.020930498838424683,1.1006749023798004,0.2288323457640969,0.9949136710495351,0.06170636083383796,1.0,0.27185505628585815,0.7281449437141418,1.2320416666666667,1.6958333333333333,0.46379166666666666,0.7450502263847738
47,47,audio__male,Who runs the Catholic Church?,5,1,2,runs,0.20790184289216995,0.20790184289216995,0.20790184655674177,0.22883234173059464,0.020930498838424683,1.1006749023798004,0.2288323457640969,0.9949136710495351,0.06170636083383796,1.0,0.2065911740064621,0.7934088259935379,0.36354166666666665,0.6059166666666667,0.242375,0.7450502263847738
47,47,audio__male,Who runs the Catholic Church?,5,2,3,the,0.20530318468809128,0.20530318468809128,0.20530318830685798,0.22883234173059464,0.020930498838424683,1.1006749023798004,0.2288323457640969,0.9949136710495351,0.06170636083383796,1.0,0.2065911740064621,0.7934088259935379,0.6463333333333333,0.727125,0.08079166666666666,0.7450502263847738
