sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,cumulative_similarity,cumulative_drop,cumulative_n_deleted,tfidf_original_sim,tfidf_deleted_sim,tfidf_deletion_drop,tfidf_cumulative_sim,tfidf_cumulative_drop,seqmatch_deleted_sim,seqmatch_deletion_drop,seqmatch_cumulative_sim,seqmatch_cumulative_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
38,38,audio__original,AND SO IN MY VIEW,5,0,1,AND,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.1591796875,0.8408203125,0.353515625,0.646484375,1,1.0,0.2860387767736777,0.7139612232263223,0.25354627641855504,0.746453723581445,0.2891566265060241,0.7108433734939759,0.35294117647058826,0.6470588235294117,0.363875,0.597,0.233125,1.5984907659993042
38,38,audio__original,AND SO IN MY VIEW,5,1,2,SO,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.2890625,0.7109375,0.294921875,0.705078125,2,1.0,0.639009650422694,0.360990349577306,0.25354627641855504,0.746453723581445,0.6197183098591549,0.3802816901408451,0.3488372093023256,0.6511627906976745,0.6456875,1.0475,0.4018125,1.5984907659993042
38,38,audio__original,AND SO IN MY VIEW,5,2,3,IN,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.35546875,0.64453125,0.125,0.875,3,1.0,0.639009650422694,0.360990349577306,0.0,1.0,0.6197183098591549,0.3802816901408451,0.15,0.85,1.266375,1.3923125,0.1259375,1.5984907659993042
38,38,audio__original,AND SO IN MY VIEW,5,3,4,MY,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.01458740234375,0.98541259765625,0.125,0.875,4,1.0,0.0,1.0,0.0,1.0,0.2988505747126437,0.7011494252873562,0.0,1.0,1.4528125,1.6748125,0.222,1.5984907659993042
38,38,audio__original,AND SO IN MY VIEW,5,4,5,VIEW,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.59765625,0.40234375,0.28515625,0.71484375,5,1.0,0.0,1.0,0.18257418583505544,0.8174258141649445,0.30952380952380953,0.6904761904761905,0.29213483146067415,0.7078651685393258,1.7555,2.0574375,0.3019375,1.5984907659993042
89,89,audio__original,CHAPTER ONE MY EDUCATION,4,0,1,CHAPTER,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,0.99609375,0.18359375,0.8125,0.1962890625,0.7998046875,1,1.0,0.23076923076923084,0.7692307692307692,0.23076923076923084,0.7692307692307692,0.4146341463414634,0.5853658536585367,0.3448275862068966,0.6551724137931034,0.1403125,0.5408125,0.4005,1.4135875957508688
89,89,audio__original,CHAPTER ONE MY EDUCATION,4,1,2,ONE,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,0.99609375,0.408203125,0.587890625,0.1376953125,0.8583984375,2,1.0,1.0,0.0,0.5883484054145521,0.41165159458544787,1.0,0.0,0.44,0.56,0.661,0.8413125,0.1803125,1.4135875957508688
89,89,audio__original,CHAPTER ONE MY EDUCATION,4,2,3,MY,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,0.99609375,0.2333984375,0.7626953125,0.34765625,0.6484375,3,1.0,0.5262348115842176,0.4737651884157824,0.0,1.0,0.5747126436781609,0.4252873563218391,0.3595505617977528,0.6404494382022472,1.3815,1.8629375,0.4814375,1.4135875957508688
89,89,audio__original,CHAPTER ONE MY EDUCATION,4,3,4,EDUCATION,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,0.99609375,0.28515625,0.7109375,0.3203125,0.67578125,4,1.0,0.16012815380508716,0.8398718461949128,0.0,1.0,0.20408163265306123,0.7959183673469388,0.06382978723404255,0.9361702127659575,1.9230625,2.8043125,0.88125,1.4135875957508688
117,117,audio__original,FOR ASKED THE INCAS,4,0,1,FOR,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,1.0,0.234375,0.765625,0.2490234375,0.7509765625,1,1.0,0.07412493166611014,0.9258750683338899,0.0,1.0,0.16279069767441862,0.8372093023255813,0.17073170731707318,0.8292682926829268,0.54525,0.846625,0.301375,1.3949157472525258
