sample_id,boundary_idx,transcript,audio_column,raw_time_sec,refined_time_sec,raw_flux,refined_flux,delta_time_ms
0,0,Is woke bad?,audio__male,0.1428,0.062792,46.31604766845703,1.8764398035386876e-08,-80.00800000000001
0,1,Is woke bad?,audio__male,0.2448,0.255,5.024911880493164,2.53170108795166,10.200000000000015
0,2,Is woke bad?,audio__male,0.3876,0.306,195.04998779296875,2.0695817470550537,-81.60000000000001
0,3,Is woke bad?,audio__male,0.612,0.6324,0.44252458214759827,0.0033316665794700384,20.399999999999974
0,4,Is woke bad?,audio__male,0.7752,0.6732,255.07086181640625,0.006728427950292826,-101.99999999999999
0,5,Is woke bad?,audio__male,1.122,1.202,6.3025855645548745e-09,1.467861784476554e-05,79.99999999999984
1,0,"Write ""Test""",audio__male,0.14175,0.061708,26.61060333251953,2.3049285573506495e-06,-80.04199999999999
1,1,"Write ""Test""",audio__male,0.405,0.4455,1.4611878395080566,0.09681172668933868,40.49999999999998
1,2,"Write ""Test""",audio__male,0.74925,0.5825,33.38270568847656,4.58810802683729e-07,-166.74999999999994
1,3,"Write ""Test""",audio__male,1.03275,1.051417,0.001929975114762783,8.231191895902157e-05,18.666999999999987
2,0,What is prayer?,audio__male,0.122264,0.04225,13.629724502563477,3.651081881272944e-09,-80.014
2,1,What is prayer?,audio__male,0.264906,0.264906,0.8091407418251038,0.8091407418251038,0.0
2,2,What is prayer?,audio__male,0.346415,0.326038,99.86582946777344,30.62306022644043,-20.376999999999978
2,3,What is prayer?,audio__male,0.448302,0.448302,1.1303032636642456,1.1303032636642456,0.0
2,4,What is prayer?,audio__male,0.550189,0.509434,2.040186882019043,7.91354977991432e-05,-40.75499999999999
2,5,What is prayer?,audio__male,0.957736,1.037708,1.9441799850028474e-06,1.6609228437047818e-09,79.97200000000004
