sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,What is the MOO programming language?,6,3,1,MOO,0.1270737200975418,0.1270737200975418,0.43724855887928094,0.14869964122772217,0.1666666666666664,0.14869964122772217,1,0.5234899328859061,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
1,What is the MOO programming language?,6,4,2,programming,0.09280499815940857,0.09280499815940857,0.3193331529984908,0.07803964614868164,0.26970325665977835,0.19569110870361328,2,0.4993510906040268,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
1,What is the MOO programming language?,6,0,3,What,0.033965256065130234,0.033965256065130234,0.11687120873650446,0.043892860412597656,0.1666666666666664,0.2509692907333374,3,0.2209828020134228,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
1,What is the MOO programming language?,6,5,4,language?,0.01795921102166176,0.01795921102166176,0.06179593335115093,0.0,-2.220446049250313e-16,0.2558879852294922,4,0.6839962248322147,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
1,What is the MOO programming language?,6,1,5,is,0.011549921706318855,0.011549921706318855,0.03974217971567937,0.0,-2.220446049250313e-16,0.2760849595069885,5,0.12080536912751683,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
1,What is the MOO programming language?,6,2,6,the,-0.007268135901540518,0.007268135901540518,0.02500896287798874,0.0,-2.220446049250313e-16,0.2760849595069885,6,0.06040268456375841,0.7239150404930115,What is the MOO programming language?,64,6.723139362666795
2,How many seasons did Everwood have?,6,2,1,seasons,0.09187578409910202,0.09187578409910202,0.38708572189237567,0.09263396263122559,0.28571428571428537,0.09263396263122559,1,0.46168750000000003,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
2,How many seasons did Everwood have?,6,4,2,Everwood,0.06387368589639664,0.06387368589639664,0.2691089067437434,0.09280943870544434,0.2284832501895402,0.1474766731262207,2,0.48176086956521713,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
2,How many seasons did Everwood have?,6,1,3,many,0.04204735532402992,0.04204735532402992,0.17715147738724363,0.0942733883857727,0.2284832501895402,0.1474766731262207,3,0.2509171195652171,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
2,How many seasons did Everwood have?,6,5,4,have?,0.017684444785118103,0.017684444785118103,0.07450707651680553,0.0942733883857727,0.2284832501895402,0.15877032279968262,4,0.3613206521739132,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
2,How many seasons did Everwood have?,6,0,5,How,0.016263943165540695,0.016263943165540695,0.06852230152680049,-1.1920928955078125e-07,-4.440892098500626e-16,0.2626376152038574,5,0.19044701086956506,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
2,How many seasons did Everwood have?,6,3,6,did,0.005607338156551123,0.005607338156551123,0.0236245117198893,0.03572976589202881,0.1982162742627266,0.2373524308204651,6,0.1806603260869566,0.7626475691795349,How many seasons did Ever Would have?,64,7.3982535770010145
3,How smart is marmot?,4,3,1,marmot?,0.11371996253728867,0.11371996253728867,0.4239664946099594,0.277362585067749,0.75,0.277362585067749,1,0.4671511075949364,0.7317713499069214,House bat is mammoth.,16,2.3273540377504105
3,How smart is marmot?,4,0,2,How,0.08849578350782394,0.08849578350782394,0.32992665741752636,0.1979891061782837,0.7113248654051871,0.25015413761138916,2,0.26116060126582286,0.7317713499069214,House bat is mammoth.,16,2.3273540377504105
3,How smart is marmot?,4,1,3,smart,0.036398205906152725,0.036398205906152725,0.1356984246548892,0.2138756513595581,0.7113248654051871,0.22714543342590332,3,0.46252373417721526,0.7317713499069214,House bat is mammoth.,16,2.3273540377504105
3,How smart is marmot?,4,2,4,is,0.029614701867103577,0.029614701867103577,0.11040841958946249,0.11227500438690186,1.0,0.2682286500930786,4,0.22139240506329116,0.7317713499069214,House bat is mammoth.,16,2.3273540377504105
4,Who was the 2022 VEX world champions?,3,2,1,the,0.05911286175251007,0.05911286175251007,0.7899498831510027,0.08148366212844849,0.14285714285714246,0.08148366212844849,1,0.8437500000000001,0.9566054344177246,Who was the 2022 VEX World Champions?,8,2.2220196473329756
4,Who was the 2022 VEX world champions?,3,1,2,was,-0.01409386657178402,0.01409386657178402,0.18834223080146947,0.0,-4.440892098500626e-16,0.04474806785583496,2,0.2209821428571429,0.9566054344177246,Who was the 2022 VEX World Champions?,8,2.2220196473329756
4,Who was the 2022 VEX world champions?,3,0,3,Who,-0.0016244251746684313,0.0016244251746684313,0.021707872684109834,0.0,-4.440892098500626e-16,0.04339456558227539,3,0.1785357142857144,0.9566054344177246,Who was the 2022 VEX World Champions?,8,2.2220196473329756
6,Suggest a recipe for a vegan dessert.,7,5,1,vegan,0.07828940451145172,0.07828940451145172,0.28735609285944125,0.0,-2.220446049250313e-16,0.0,1,0.3130428571428572,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,6,2,dessert.,0.06920302659273148,0.06920302659273148,0.25400514232837895,0.0,-2.220446049250313e-16,0.10127675533294678,2,0.5011553571428573,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,0,3,Suggest,0.056682392954826355,0.056682392954826355,0.2080489828101822,0.03054147958755493,0.05719095841793653,0.129275381565094,3,0.5413125,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,2,4,recipe,0.05097432807087898,0.05097432807087898,0.18709790733483647,0.0,-2.220446049250313e-16,0.25952422618865967,4,0.4854642857142858,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,3,5,for,0.013266762718558311,0.013266762718558311,0.04869477707089439,0.0,-2.220446049250313e-16,0.2733802795410156,5,0.1303714285714288,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,4,6,a,0.002904488705098629,0.002904488705098629,0.010660734121811287,0.0,-2.220446049250313e-16,0.2806013226509094,6,0.020057142857142773,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
6,Suggest a recipe for a vegan dessert.,7,1,7,a,-0.0011269402457401156,0.0011269402457401156,0.0041363598040213695,0.0,-2.220446049250313e-16,0.2701934576034546,7,0.020057142857142884,0.7298065423965454,Suggest a recipe for a vegan dessert.,128,12.45536638471406
7,Tell me something I do not know,7,0,1,Tell,0.05212204530835152,0.05212204530835152,0.28301670512757277,0.0,-4.440892098500626e-16,0.0,1,0.26211428571428574,0.8209880590438843,Tell me something I do not know.,128,12.766297979857232
7,Tell me something I do not know,7,2,2,something,0.05212204158306122,0.05212204158306122,0.28301668489967535,0.0,-4.440892098500626e-16,0.0,2,0.32365714285714287,0.8209880590438843,Tell me something I do not know.,128,12.766297979857232
7,Tell me something I do not know,7,5,3,not,0.02597646415233612,0.02597646415233612,0.1410492096341565,0.0,-4.440892098500626e-16,0.0,3,0.18205714285714292,0.8209880590438843,Tell me something I do not know.,128,12.766297979857232
7,Tell me something I do not know,7,4,4,do,0.02353988029062748,0.02353988029062748,0.12781883979298483,0.0,-4.440892098500626e-16,0.005934476852416992,4,0.10724642857142874,0.8209880590438843,Tell me something I do not know.,128,12.766297979857232
