frac_removed,sgpa_order_drop,random_drop
0.0,1.4901161194957878e-08,1.4901161194957878e-08
0.1,0.03010488951206208,0.012275725424289698
0.2,0.058652729630470295,0.024457106643631335
0.30000000000000004,0.07860880279541017,0.03597336542918568
0.4,0.09466272199153898,0.04784997332606997
0.5,0.10932069092988968,0.061366648963519496
0.6000000000000001,0.11899315392971038,0.07658733604919346
0.7000000000000001,0.12881839996576305,0.09383612967701184
0.8,0.13741807556152344,0.11129477549734573
0.9,0.14097863042354583,0.12794339603185653
1.0,0.14452733039855958,0.14452733039855958
