dataset_config,audio_column,label,sample_idx,boundary_idx,flux_raw,flux_mid,flux_refined,boundary_refined
single_sentence_1k,audio__male,Male TTS,0,0,17.555753707885742,15.175492286682129,17.555753707885742,True
single_sentence_1k,audio__male,Male TTS,0,1,41.94933319091797,36.59984588623047,17.318300247192383,False
single_sentence_1k,audio__male,Male TTS,0,2,2.945714235305786,35.89922332763672,2.945714235305786,True
single_sentence_1k,audio__male,Male TTS,0,3,30.515974044799805,47.16025161743164,30.515974044799805,False
single_sentence_1k,audio__male,Male TTS,0,4,0.07136708498001099,0.7714800834655762,0.004949664697051048,True
single_sentence_1k,audio__male,Male TTS,1,0,0.0008534729713574052,2.297842264175415,0.0008534729713574052,True
single_sentence_1k,audio__male,Male TTS,1,1,4.115444183349609,0.2641718089580536,1.123087763786316,True
single_sentence_1k,audio__male,Male TTS,1,2,5.838867664337158,1.2405451536178589,5.838867664337158,False
single_sentence_1k,audio__male,Male TTS,1,3,5.39161491394043,0.004949103109538555,0.05215849727392197,False
single_sentence_1k,audio__male,Male TTS,1,4,8.210800170898438,0.09966594725847244,0.8606071472167969,True
single_sentence_1k,audio__male,Male TTS,2,0,19.243974685668945,10.43824577331543,25.52468490600586,False
single_sentence_1k,audio__male,Male TTS,2,1,0.4329482316970825,6.109319686889648,0.37744632363319397,True
single_sentence_1k,audio__male,Male TTS,2,2,0.6496630907058716,14.882070541381836,0.15063677728176117,False
single_sentence_1k,audio__male,Male TTS,2,3,0.06474529206752777,1.5856212377548218,0.06474529206752777,True
single_sentence_1k,audio__male,Male TTS,2,4,133.8631134033203,1.616148591041565,1.616148591041565,False
single_sentence_1k,audio__male,Male TTS,2,5,6.0233659744262695,40.614295959472656,12.466024398803711,False
single_sentence_1k,audio__male,Male TTS,2,6,72.38307189941406,54.5070915222168,37.616477966308594,False
single_sentence_1k,audio__male,Male TTS,2,7,6.4982218742370605,29.569229125976562,6.4982218742370605,False
single_sentence_1k,audio__male,Male TTS,2,8,29.715896606445312,29.450679779052734,29.715896606445312,False
single_sentence_1k,audio__male,Male TTS,3,0,39.593257904052734,26.532257080078125,36.789913177490234,False
single_sentence_1k,audio__male,Male TTS,3,1,0.0036680432967841625,0.5747547149658203,0.0041007231920957565,False
single_sentence_1k,audio__male,Male TTS,3,2,0.018281983211636543,0.006432497873902321,0.018281983211636543,False
single_sentence_1k,audio__male,Male TTS,3,3,0.004756401292979717,0.0002407926513114944,0.004756401292979717,True
single_sentence_1k,audio__male,Male TTS,3,4,4.005718231201172,0.0023570770863443613,4.005718231201172,False
single_sentence_1k,audio__male,Male TTS,4,0,2.7952728271484375,0.06272902339696884,0.014500933699309826,True
single_sentence_1k,audio__male,Male TTS,4,1,0.48884186148643494,6.348270416259766,0.48884186148643494,True
single_sentence_1k,audio__male,Male TTS,4,2,0.11408580839633942,0.0009659419301897287,0.11408580839633942,False
single_sentence_1k,audio__male,Male TTS,4,3,0.0539085678756237,4.800993919372559,0.04485408961772919,True
single_sentence_1k,audio__male,Male TTS,5,0,39.147254943847656,10.357948303222656,39.147254943847656,False
single_sentence_1k,audio__male,Male TTS,5,1,13.065732955932617,2.9922568798065186,10.174330711364746,False
single_sentence_1k,audio__male,Male TTS,5,2,1.4662408828735352,1.5617847442626953,0.01985703781247139,True
single_sentence_1k,audio__male,Male TTS,5,3,41.39827346801758,27.963163375854492,41.39827346801758,False
single_sentence_1k,audio__male,Male TTS,5,4,7.174208164215088,0.02612227201461792,0.4521409571170807,True
single_sentence_1k,audio__male,Male TTS,5,5,0.007318146526813507,0.02146395854651928,0.007318146526813507,True
single_sentence_1k,audio__male,Male TTS,5,6,14.55550765991211,47.46246337890625,0.06122297793626785,True
single_sentence_1k,audio__male,Male TTS,5,7,11.789247512817383,33.915103912353516,2.3300652503967285,True
single_sentence_1k,audio__male,Male TTS,6,0,1.3951224088668823,25.271495819091797,2.23480224609375,False
single_sentence_1k,audio__male,Male TTS,6,1,1.547166109085083,0.34662550687789917,1.547166109085083,True
single_sentence_1k,audio__male,Male TTS,6,2,30.6693058013916,63.411624908447266,30.6693058013916,False
single_sentence_1k,audio__male,Male TTS,6,3,138.56015014648438,60.1550407409668,36.1102409362793,False
single_sentence_1k,audio__male,Male TTS,6,4,0.49197623133659363,41.38028335571289,0.49197623133659363,False
single_sentence_1k,audio__male,Male TTS,6,5,69.23043823242188,5.20613431930542,4.240987777709961,False
single_sentence_1k,audio__male,Male TTS,6,6,2.065784215927124,213.8592071533203,2.065784215927124,True
single_sentence_1k,audio__male,Male TTS,7,0,2.0143556594848633,1.1797081232070923,1.9205024242401123,True
single_sentence_1k,audio__male,Male TTS,7,1,0.015557929873466492,0.0009125378564931452,0.015557929873466492,True
single_sentence_1k,audio__male,Male TTS,7,2,5.840090751647949,27.860702514648438,15.606236457824707,False
single_sentence_1k,audio__male,Male TTS,7,3,49.612449645996094,7.168056488037109,4.988290309906006,False
single_sentence_1k,audio__male,Male TTS,7,4,39.557010650634766,92.76844024658203,40.03117752075195,False
single_sentence_1k,audio__male,Male TTS,7,5,0.14971409738063812,2.120417833328247,0.14971409738063812,True
single_sentence_1k,audio__male,Male TTS,7,6,6.030996799468994,5.935458183288574,6.030996799468994,False
single_sentence_1k,audio__male,Male TTS,8,0,1.2474931478500366,4.416903972625732,4.138222694396973,True
single_sentence_1k,audio__male,Male TTS,8,1,0.23593536019325256,8.669222831726074,0.23593536019325256,True
single_sentence_1k,audio__male,Male TTS,8,2,3.0799221992492676,0.01626318320631981,0.12789961695671082,True
single_sentence_1k,audio__male,Male TTS,8,3,91.4983901977539,1.816014289855957,4.6356916427612305,False
single_sentence_1k,audio__male,Male TTS,8,4,45.29215621948242,0.6902985572814941,55.89575958251953,False
single_sentence_1k,audio__male,Male TTS,8,5,9.799172401428223,13.019103050231934,9.799172401428223,False
single_sentence_1k,audio__male,Male TTS,9,0,2.529576539993286,2.5343093872070312,0.20598439872264862,True
single_sentence_1k,audio__male,Male TTS,9,1,83.55522918701172,9.719133377075195,17.75567054748535,False
single_sentence_1k,audio__male,Male TTS,9,2,6.988409996032715,30.80089569091797,6.988409996032715,False
single_sentence_1k,audio__male,Male TTS,9,3,0.4183833599090576,1.4337314367294312,0.16853150725364685,False
single_sentence_1k,audio__male,Male TTS,10,0,15.675178527832031,95.4892578125,7.2522196769714355,False
single_sentence_1k,audio__male,Male TTS,10,1,33.90949630737305,0.26924169063568115,0.26924169063568115,False
single_sentence_1k,audio__male,Male TTS,10,2,96.69286346435547,0.021475128829479218,46.16366958618164,False
single_sentence_1k,audio__male,Male TTS,10,3,74.01073455810547,3.7240257263183594,0.14103808999061584,True
single_sentence_1k,audio__male,Male TTS,10,4,0.13627688586711884,0.03307685628533363,0.09921985119581223,True
single_sentence_1k,audio__male,Male TTS,10,5,28.8778076171875,48.93203353881836,28.8778076171875,False
single_sentence_1k,audio__male,Male TTS,10,6,0.7711883187294006,21.072547912597656,0.7711883187294006,True
single_sentence_1k,audio__male,Male TTS,10,7,0.07392735779285431,0.6221964359283447,0.07392735779285431,True
single_sentence_1k,audio__male,Male TTS,11,0,1.3816434144973755,133.6205291748047,39.307430267333984,False
single_sentence_1k,audio__male,Male TTS,11,1,20.097639083862305,22.721946716308594,0.07414698600769043,False
single_sentence_1k,audio__male,Male TTS,11,2,66.62092590332031,103.95425415039062,66.44588470458984,False
single_sentence_1k,audio__male,Male TTS,11,3,0.0009172130958177149,0.018949037417769432,0.018899021670222282,False
single_sentence_1k,audio__male,Male TTS,11,4,74.55097198486328,45.74728012084961,74.55097198486328,True
